name,v_nom,Nemotecnico,Name Node,x,y,FID,wkt_geom,taxonomy,bus,p_nom,carrier,Synchronous Reactance Xd - Ohms,Assumption,p_factor,Plant Name Database,Plant Name Database 2,Barra i,Barra j,Row,Line
,,,RAUTEN,,,175,Point (-71.31206137232848619 -32.89177859009674876),Consumer,,,,,,,,,,,,
,,,RECREO,,,50,Point (-71.57761017110151158 -33.0295548977554887),Consumer,,,,,,,,,,,,
,,,RENACA,,,21,Point (-71.54302726183746586 -32.96999269744753747),Consumer,,,,,,,,,,,,
,,,RUNGUE,,,196,Point (-70.90501293343797329 -32.99132349618934512),Consumer,,,,,,,,,,,,
76,,,VENTANAS 1,267343.0428,6373528.024,233,,Power Plant,207,105.701,Brown Coal,2.632097561,0,,Ventanas 1,,,,,
347,,,VENTANAS 2,267340.0187,6373592.975,234,,Power Plant,207,193.459,Brown Coal,1.853229572,0,,Ventanas 2,,,,,
776,,,EQ_AMELIPILLA_RAPEL,293553.469,6269516.844,235,,Power Plant Equivalent,62T,197.39,Equivalente,0,3,1,,,RAPEL_________220,C.NAVIA_______220,136,
565,,,EQ_C.NAVIA_______220_CHENA,339181,6300595.014,236,,Power Plant Equivalent,565,415.38,Equivalente,0,3,-1,,,C.NAVIA_______220,CHENA_________220,105,
565_110,,,EQ_C.NAVIA_______110_CHENA,339181,6300595.014,237,,Power Plant Equivalent,565,406.25,Equivalente,0,3,-1,,,C.NAVIA_______110,CHENA_________110,109,
776_110kV,,,EQ_A.MELIPILLA_______110_MELIPILLA,292517.9998,6269795.016,238,,Power Plant Equivalent,776_110kV,97.55,Equivalente,0,3,-1,,,A.MELIPILLA_______110,MELIPILLA____110,90,
605,,,EQ_L.VILOS_______220_NOGALES_______220,291310.9998,6377579.015,239,,Power Plant Equivalent,605,223.68,Equivalente,0,3,1,,,L.VILOS_______220,NOGALES_______220,64,
1746_525kV,,,EQ_A.JAHUEL______500_LO_AGUIRRE,323595.9979,6298316.994,240,,Power Plant Equivalent,1746_525kV,1803.07,Equivalente,0,3,1,,,A.JAHUEL______500,LO_AGUIRRE_____500,148,
565_2,,,EQ_C.NAVIA_______110_S.CRISTOBAL,339181,6300595.014,241,,Power Plant Equivalent,565,409.25,Equivalente,0,3,-1,,,C.NAVIA_______110,S.CRISTOBAL___110,107,
565_3,,,EQ_C.NAVIA_______110_RENCA,339181,6300595.014,242,,Power Plant Equivalent,565,409.25,Equivalente,0,3,-1,,,C.NAVIA_______110,RENCA_________110,108,
